date,open,high,low,close,volume
1/22/2022,1.000182,1.000941,1.000073,1.000158,90441827607
1/23/2022,1.000155,1.001008,1.000107,1.000491,57296666670
1/24/2022,1.000498,1.001062,1.000108,1.000439,88845381041
1/25/2022,1.000442,1.000902,1.000169,1.000604,58560287216
1/26/2022,1.000595,1.001117,1.00029,1.00063,70750980627
1/27/2022,1.000632,1.000859,1.000207,1.000344,53950927548
1/28/2022,1.000343,1.000723,1.000151,1.000345,50688257403
1/29/2022,1.00034,1.000633,1.000194,1.000362,39357192812
1/30/2022,1.000455,1.000607,1.000234,1.000341,35043713256
1/31/2022,1.000344,1.000677,1.000265,1.000485,45082693892
2/1/2022,1.000505,1.000741,1.000354,1.000426,43193864245
2/2/2022,1.000427,1.000664,1.000308,1.00038,44198324772
2/3/2022,1.00038,1.000762,1.000288,1.000386,41979444063
2/4/2022,1.000387,1.000994,1.000278,1.000563,59154422463
2/5/2022,1.000564,1.000807,1.000378,1.000595,50686325002
2/6/2022,1.000587,1.000829,1.000363,1.000679,40572292703
2/7/2022,1.000677,1.000853,1.000397,1.000555,64635714287
2/8/2022,1.000554,1.000991,1.000492,1.000619,72230569455
2/9/2022,1.000605,1.000999,1.000545,1.000744,53386706331
2/10/2022,1.00073,1.001054,1.000507,1.000726,77334791717
2/11/2022,1.00073,1.002683,1.000504,1.000722,66753002645
2/12/2022,1.00072,1.001073,1.000472,1.000601,49138854287
2/13/2022,1.000597,1.000864,1.000417,1.000456,41277090178
2/14/2022,1.000444,1.000865,1.000326,1.000513,48318327792
2/15/2022,1.000513,1.00074,1.000364,1.000585,53542330209
2/16/2022,1.0006,1.000699,1.00034,1.000397,48729582312
2/17/2022,1.000403,1.000601,1.000325,1.000515,59426477844
2/18/2022,1.000504,1.000707,1.000402,1.000559,52679060916
2/19/2022,1.000546,1.00077,1.000407,1.000576,37278604791
2/20/2022,1.000585,1.00079,1.000318,1.000408,45611091002
2/21/2022,1.000402,1.000874,1.000319,1.000502,72043746349
2/22/2022,1.000459,1.000844,1.000347,1.000704,60539262856
2/23/2022,1.000712,1.000961,1.000453,1.000498,54845607157
2/24/2022,1.000581,1.001025,1.000299,1.000636,1.07952E+11
2/25/2022,1.000641,1.001107,1.00034,1.000474,66025345539
2/26/2022,1.000486,1.000722,1.000291,1.000397,46708690534
2/27/2022,1.000393,1.00079,1.000266,1.000491,57257598779
2/28/2022,1.000507,1.001014,1.000223,1.000351,72330789600
3/1/2022,1.000359,1.000606,1.00018,1.000452,75388694286
3/2/2022,1.000452,1.000667,1.000243,1.000467,68076385283
3/3/2022,1.000473,1.000565,0.999958,1.000017,57033279685
3/4/2022,1.000015,1.000726,1,1.000197,61900652306
3/5/2022,1.000197,1.000381,1.000087,1.000275,39306054797
3/6/2022,1.000272,1.000545,1.000057,1.000244,43914369258
3/7/2022,1.000251,1.00057,1.00006,1.000123,61333826920
3/8/2022,1.00009,1.000591,1.000047,1.000282,55667916973
3/9/2022,1.000285,1.000497,1.000105,1.000294,67017876859
3/10/2022,1.000285,1.000666,1.000188,1.000565,65784999972
3/11/2022,1.00058,1.000637,1.000068,1.0002,58051333936
3/12/2022,1.000214,1.000372,1.000017,1.000081,38101124958
3/13/2022,1.000062,1.000367,1.000062,1.000199,42268710956
3/14/2022,1.00019,1.000381,1.000112,1.000219,52613345077
3/15/2022,1.000216,1.000503,1.000104,1.000334,52961395870
3/16/2022,1.000332,1.000501,1.000174,1.000435,74673285342
3/17/2022,1.000428,1.000618,1.000243,1.0005,52913216462
3/18/2022,1.00048,1.000897,1.000329,1.000483,64969319781
3/19/2022,1.000487,1.000769,1.000383,1.00051,58881848497
3/20/2022,1.000505,1.000738,1.000375,1.000427,57837125338
3/21/2022,1.000417,1.000541,1.000297,1.000347,64828148834
3/22/2022,1.00035,1.000707,1.000304,1.000337,71455738693
3/23/2022,1.00035,1.000701,1.000261,1.000409,68181581345
3/24/2022,1.000453,1.000667,1.000282,1.0006,77842904360
3/25/2022,1.000604,1.00063,1.000351,1.000406,64320675570
3/26/2022,1.000423,1.00054,1.00033,1.000361,39871932342
3/27/2022,1.000361,1.000606,1.000268,1.000376,59103680528
3/28/2022,1.000365,1.000651,1.000226,1.000412,86217871591
3/29/2022,1.000406,1.000662,1.00028,1.00045,80447404974
3/30/2022,1.000428,1.000574,1.000219,1.000278,79713341087
3/31/2022,1.000272,1.000734,1.0002,1.000304,90489848043
4/1/2022,1.000306,1.000639,1.000228,1.000358,92250507858
4/2/2022,1.000369,1.000523,1.000276,1.000344,79916606735
4/3/2022,1.000348,1.000681,1.000195,1.000273,67183096448
4/4/2022,1.000276,1.000451,1.000152,1.000228,79820905659
4/5/2022,1.000222,1.000437,1.000122,1.000194,71594982811
4/6/2022,1.000199,1.000465,1.000086,1.000155,92098510461
4/7/2022,1.000149,1.000492,1.000093,1.000262,61906251582
4/8/2022,1.000261,1.000547,1.000173,1.000288,64297486911
4/9/2022,1.000284,1.000581,1.000152,1.000372,40069848333
4/10/2022,1.000354,1.000568,1.00024,1.000292,43341611560
